date,Actual Time,to_minutes,slot,car1,car2,car3,car4,car5,car6,car7,car8,Holiday
25:42:37,10:02:50,602.8333333,3,23,50,114,37,61,37,75,46,N
25:42:37,10:08:59,608.9833333,3,24,50,114,37,61,39,76,45,N
25:42:37,10:15:08,615.1333333,3,23,50,115,38,60,38,74,47,N
25:42:37,10:21:18,621.3,3,23,50,112,38,59,39,73,48,N
25:42:37,10:27:29,627.4833333,3,23,50,110,38,59,40,73,48,N
25:42:37,10:33:39,633.65,3,26,50,111,38,55,39,74,48,N
25:42:37,10:39:50,639.8333333,3,24,51,114,38,54,40,76,48,N
25:42:37,10:49:20,649.3333333,3,24,52,112,37,51,41,74,48,N
25:42:37,10:55:28,655.4666667,3,24,51,110,38,49,43,73,49,N
18:42:37,10:01:39,601.65,3,23,50,109,36,62,52,75,46,N
20:42:37,10:05:53,605.8833333,3,23,47,95,38,63,38,74,50,N
20:42:37,10:12:03,612.05,3,22,48,94,40,65,39,76,50,N
20:42:37,10:18:16,618.2666667,3,23,49,94,41,63,38,76,50,N
20:42:37,10:24:25,624.4166667,3,23,49,96,41,62,38,76,51,N
20:42:37,10:30:36,630.6,3,23,49,101,41,59,38,76,51,N
20:42:37,10:36:46,636.7666667,3,23,49,99,40,57,38,76,52,N
20:42:37,10:42:52,642.8666667,3,24,50,99,40,56,38,76,52,N
20:42:37,10:49:01,649.0166667,3,24,50,98,39,54,39,75,52,N
20:42:37,10:55:12,655.2,3,24,51,99,38,52,39,76,52,N
28:42:37,10:02:44,602.7333333,3,23,50,116,40,65,38,73,48,N
28:42:37,10:08:55,608.9166667,3,23,50,117,41,66,38,73,49,N
28:42:37,10:15:04,615.0666667,3,23,49,117,41,67,38,72,50,N
28:42:37,10:21:14,621.2333333,3,24,49,116,42,66,38,73,50,N
28:42:37,10:27:26,627.4333333,3,25,49,117,42,64,39,74,50,N
28:42:37,10:33:35,633.5833333,3,25,49,109,42,59,38,75,50,N
28:42:37,10:39:48,639.8,3,25,50,109,40,58,39,76,50,N
28:42:37,10:45:58,645.9666667,3,25,50,109,39,56,38,74,51,N
28:42:37,10:52:08,652.1333333,3,25,50,109,39,54,39,73,52,N
28:42:37,10:58:18,658.3,3,25,50,108,38,52,40,73,51,N
21:42:37,10:04:17,604.2833333,3,23,50,114,40,65,38,72,48,N
21:42:37,10:10:28,610.4666667,3,22,49,114,41,68,38,72,49,N
21:42:37,10:16:39,616.65,3,22,49,117,41,66,38,71,50,N
21:42:37,10:22:49,622.8166667,3,24,49,117,42,61,39,72,50,N
21:42:37,10:29:00,629,3,24,48,116,41,64,39,72,50,N
21:42:37,10:35:16,635.2666667,3,24,49,115,41,59,39,73,50,N
21:42:37,10:42:31,642.5166667,3,24,50,114,40,57,39,74,50,N
21:42:37,10:48:42,648.7,3,27,50,114,39,57,40,72,51,N
21:42:37,10:54:54,654.9,3,25,49,114,39,56,40,72,51,N
15:42:37,10:02:16,602.2666667,3,24,48,98,36,57,38,72,47,N
15:42:37,10:07:23,607.3833333,3,24,48,99,38,57,37,72,47,N
15:42:37,10:12:32,612.5333333,3,24,48,96,38,59,37,72,48,N
15:42:37,10:17:39,617.65,3,26,48,96,37,55,36,72,49,N
15:42:37,10:22:46,622.7666667,3,24,48,97,37,55,37,71,50,N
15:42:37,10:27:53,627.8833333,3,26,49,101,37,56,38,74,50,N
15:42:37,10:33:00,633,3,27,49,100,38,54,38,74,51,N
15:42:37,10:38:08,638.1333333,3,26,49,108,38,52,38,73,52,N
15:42:37,10:43:16,643.2666667,3,27,49,114,38,51,38,73,51,N
15:42:37,10:48:23,648.3833333,3,25,49,113,37,49,39,74,50,N
15:42:37,10:53:31,653.5166667,3,27,49,119,36,48,39,76,50,N
15:42:37,10:58:38,658.6333333,3,26,49,114,36,47,39,75,50,N
22:42:37,10:01:25,601.4166667,3,28,48,113,37,56,50,72,47,N
22:42:37,10:07:35,607.5833333,3,26,48,109,38,56,37,72,47,N
22:42:37,10:14:47,614.7833333,3,24,48,112,38,55,37,72,49,N
22:42:37,10:21:03,621.05,3,24,48,112,38,54,36,71,49,N
22:42:37,10:27:08,627.1333333,3,24,48,111,38,54,37,74,50,N
22:42:37,10:33:19,633.3166667,3,25,49,114,39,53,38,74,51,N
22:42:37,10:39:30,639.5,3,24,50,114,39,51,38,73,52,N
22:42:37,10:45:39,645.65,3,31,50,118,38,49,39,74,51,N
22:42:37,10:51:50,651.8333333,3,28,48,113,37,47,39,75,50,N
22:42:37,10:57:56,657.9333333,3,26,49,114,36,46,39,75,50,N
23:42:37,10:01:24,601.4,3,20,46,77,31,31,30,77,46,N
23:42:37,10:07:34,607.5666667,3,20,46,76,31,31,31,76,46,N
23:42:37,10:13:45,613.75,3,20,46,79,32,31,32,77,47,N
23:42:37,10:19:54,619.9,3,20,47,82,32,31,33,78,44,N
23:42:37,10:29:24,629.4,3,20,48,85,32,31,34,76,44,N
23:42:37,10:54:52,654.8666667,3,21,51,89,34,33,37,75,58,N
16:42:37,10:00:22,600.3666667,3,20,46,76,31,31,30,77,46,N
16:42:37,10:05:29,605.4833333,3,20,46,77,31,31,31,76,46,N
16:42:37,10:10:46,610.7666667,3,20,46,78,31,31,32,76,46,N
16:42:37,10:15:54,615.9,3,20,47,103,32,31,32,77,47,N
16:42:37,10:21:02,621.0333333,3,20,47,81,31,32,33,78,47,N
16:42:37,10:26:09,626.15,3,20,48,86,32,32,34,76,47,N
16:42:37,10:31:17,631.2833333,3,20,47,106,32,32,34,75,47,N
16:42:37,10:36:24,636.4,3,20,48,103,32,32,35,75,48,N
16:42:37,10:41:37,641.6166667,3,20,48,106,32,33,35,75,49,N
16:42:37,10:46:44,646.7333333,3,20,49,109,33,33,35,76,46,N
16:42:37,10:51:53,651.8833333,3,21,50,108,33,34,36,76,46,N
16:42:37,10:57:01,657.0166667,3,21,51,110,33,34,37,75,50,N
17:42:37,10:01:18,601.3,3,17,40,59,30,29,28,62,41,Y
17:42:37,10:06:26,606.4333333,3,17,40,59,30,30,28,65,41,Y
17:42:37,10:11:33,611.55,3,18,40,60,30,30,28,65,42,Y
17:42:37,10:16:46,616.7666667,3,18,41,60,30,30,28,65,42,Y
17:42:37,10:21:54,621.9,3,18,41,62,30,30,29,65,42,Y
17:42:37,10:27:02,627.0333333,3,17,41,62,30,30,29,65,42,Y
17:42:37,10:32:10,632.1666667,3,17,41,63,30,31,29,65,43,Y
17:42:37,10:37:18,637.3,3,17,42,62,30,31,29,64,43,Y
17:42:37,10:42:26,642.4333333,3,17,42,62,31,31,29,65,43,Y
17:42:37,10:47:34,647.5666667,3,18,42,64,31,31,30,65,44,Y
17:42:37,10:52:42,652.7,3,18,41,65,31,31,30,67,44,Y
17:42:37,10:57:44,657.7333333,3,18,42,68,31,31,30,66,44,Y
24:42:37,10:01:51,601.85,3,17,40,60,30,30,28,63,41,N
24:42:37,10:07:57,607.95,3,18,40,59,30,29,28,65,42,N
24:42:37,10:14:06,614.1,3,18,40,60,31,29,28,65,43,N
24:42:37,10:20:18,620.3,3,18,41,62,31,29,29,65,42,N
24:42:37,10:26:29,626.4833333,3,17,41,62,31,29,29,65,42,N
24:42:37,10:32:40,632.6666667,3,17,41,63,31,30,29,65,43,N
24:42:37,10:38:51,638.85,3,17,42,62,30,31,29,64,43,N
24:42:37,10:45:03,645.05,3,18,42,63,31,31,29,65,44,N
24:42:37,10:51:13,651.2166667,3,18,41,65,32,30,30,66,44,N
24:42:37,10:57:24,657.4,3,18,42,64,32,30,30,66,44,N
