date,day,Actual Time,to_minutes,slot,car1,bus1,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,Holiday
07/08/2107,Monday,10:04:54,604.9,3,15,25,29,55,67,59,21,40,28,52,28,53,49,61,32,51,N
07/08/2107,Monday,10:12:33,612.55,3,17,25,30,51,70,63,21,40,27,52,30,53,48,69,33,51,N
07/08/2107,Monday,10:20:14,620.2333333,3,18,25,28,55,72,63,22,46,28,52,30,52,48,98,32,51,N
07/08/2107,Monday,10:21:56,621.9333333,3,18,25,28,55,74,63,21,46,28,52,31,52,48,98,32,51,N
07/08/2107,Monday,10:29:36,629.6,3,17,25,29,55,74,59,22,46,30,52,31,52,50,98,35,54,N
07/08/2107,Monday,10:37:15,637.25,3,19,25,30,55,76,63,22,40,31,52,33,53,49,69,32,51,N
07/08/2107,Monday,10:44:55,644.9166667,3,16,25,29,51,77,63,22,40,30,47,32,52,49,69,34,51,N
07/08/2107,Monday,10:52:33,652.55,3,15,25,32,51,74,59,21,40,29,52,33,53,48,69,35,51,N
14/08/2017,Monday,10:02:07,602.1166667,3,14,25,30,55,64,59,21,44,28,49,24,53,46,61,31,51,N
14/08/2017,Monday,10:09:46,609.7666667,3,13,25,30,55,61,64,21,37,27,49,24,52,50,69,31,51,N
21/08/2017,Monday,10:07:11,607.1833333,3,15,25,31,55,82,59,32,37,51,49,30,53,46,62,33,51,N
21/08/2017,Monday,10:14:50,614.8333333,3,15,25,31,51,84,70,36,44,50,49,29,53,47,70,32,51,N
21/08/2017,Monday,10:22:29,622.4833333,3,19,25,33,55,82,63,35,44,43,49,29,53,45,98,32,51,N
21/08/2017,Monday,10:30:09,630.15,3,19,25,31,55,81,59,37,44,48,49,34,52,46,98,33,60,N
21/08/2017,Monday,10:37:48,637.8,3,17,25,31,55,82,63,40,37,44,49,35,52,47,69,32,51,N
21/08/2017,Monday,10:45:28,645.4666667,3,17,25,31,51,79,63,40,37,46,45,37,52,46,69,33,51,N
21/08/2017,Monday,10:53:08,653.1333333,3,19,25,31,55,80,59,44,44,44,49,43,53,48,69,32,51,N
28/08/2017,Monday,10:02:16,602.2666667,3,20,26,31,56,77,59,28,44,40,50,35,53,49,59,33,51,N
28/08/2017,Monday,10:09:55,609.9166667,3,27,26,33,56,74,64,28,37,38,50,35,52,49,55,36,51,N
28/08/2017,Monday,10:17:34,617.5666667,3,20,26,33,56,73,63,29,44,40,50,34,53,50,63,33,51,N
28/08/2017,Monday,10:25:14,625.2333333,3,26,26,34,56,73,63,32,44,40,50,32,52,52,59,36,56,N
28/08/2017,Monday,10:32:53,632.8833333,3,24,35,33,51,72,59,32,37,41,50,32,53,54,59,34,64,N
28/08/2017,Monday,10:40:32,640.5333333,3,28,26,34,56,75,63,34,37,41,46,30,52,56,64,35,51,N
28/08/2017,Monday,10:48:12,648.2,3,26,26,34,56,74,64,35,37,41,46,31,52,57,58,32,51,N
28/08/2017,Monday,10:55:50,655.8333333,3,24,26,33,56,74,59,35,44,43,50,31,53,57,58,35,58,N
11/09/2017,Monday,10:05:11,605.1833333,3,18,26,31,56,66,64,24,37,39,50,33,53,47,59,31,51,N
11/09/2017,Monday,10:12:51,612.85,3,20,26,31,51,66,69,25,44,37,50,35,53,48,55,31,51,N
11/09/2017,Monday,10:20:31,620.5166667,3,21,26,32,56,64,69,25,44,41,50,40,52,49,96,34,51,N
11/09/2017,Monday,10:28:11,628.1833333,3,23,26,32,56,68,64,24,44,43,50,39,52,49,59,32,54,N
11/09/2017,Monday,10:35:52,635.8666667,3,23,26,32,51,68,58,24,37,42,50,38,53,50,59,33,51,N
11/09/2017,Monday,10:43:32,643.5333333,3,24,26,32,51,68,69,24,37,35,46,34,52,53,58,33,51,N
11/09/2017,Monday,10:51:12,651.2,3,22,26,31,56,71,64,23,37,38,50,35,52,52,58,34,51,N
11/09/2017,Monday,10:58:51,658.85,3,23,26,31,56,70,59,24,44,37,50,34,52,53,58,33,58,N
18/09/2017,Monday,10:03:11,603.1833333,3,14,22,30,44,67,64,21,40,40,43,36,53,48,79,32,51,N
18/09/2017,Monday,10:30:53,630.8833333,3,14,22,30,40,71,64,21,40,37,43,38,52,51,79,33,60,N
18/09/2017,Monday,10:38:39,638.65,3,17,22,30,44,73,58,21,40,36,43,46,52,50,64,33,51,N
18/09/2017,Monday,10:46:46,646.7666667,3,18,22,31,44,72,69,22,40,34,40,42,52,49,94,32,51,N
18/09/2017,Monday,10:54:36,654.6,3,19,22,31,44,72,64,21,40,33,43,42,53,49,94,32,51,N
08/08/2017,Tuesday,10:06:25,606.4166667,3,15,25,32,55,77,59,23,40,42,52,42,53,51,61,33,51,N
08/08/2017,Tuesday,10:14:03,614.05,3,15,25,31,51,78,70,23,46,40,52,43,53,48,70,37,51,N
08/08/2017,Tuesday,10:21:41,621.6833333,3,16,25,31,55,77,63,23,46,41,52,42,52,49,98,32,51,N
08/08/2017,Tuesday,10:47:26,647.4333333,3,18,25,31,55,79,63,22,40,37,47,41,52,50,69,32,51,N
08/08/2017,Tuesday,10:55:04,655.0666667,3,18,25,30,55,77,59,23,46,34,52,39,53,51,69,32,58,N
22/08/2017,Tuesday,10:04:03,604.05,3,15,25,31,55,83,59,34,37,38,49,42,53,47,61,34,51,N
22/08/2017,Tuesday,10:11:50,611.8333333,3,16,25,31,51,81,64,33,37,38,49,37,52,47,69,34,51,N
22/08/2017,Tuesday,10:19:36,619.6,3,18,25,32,55,81,63,33,44,43,49,34,52,48,98,39,51,N
22/08/2017,Tuesday,10:27:22,627.3666667,3,18,25,31,55,82,59,29,44,41,49,37,52,50,98,38,56,N
22/08/2017,Tuesday,10:35:13,635.2166667,3,19,34,31,51,86,63,28,37,38,49,33,53,51,71,35,51,N
22/08/2017,Tuesday,10:43:04,643.0666667,3,22,25,33,51,85,63,27,37,37,45,38,52,52,69,35,51,N
22/08/2017,Tuesday,10:50:52,650.8666667,3,18,25,32,55,83,63,24,37,35,49,41,52,53,69,35,51,N
22/08/2017,Tuesday,10:58:37,658.6166667,3,18,25,32,55,86,63,24,44,32,49,39,52,54,65,34,58,N
29/08/2017,Tuesday,10:02:35,602.5833333,3,15,26,32,56,76,59,36,46,42,52,35,53,46,59,33,51,N
29/08/2017,Tuesday,10:10:14,610.2333333,3,17,26,31,56,78,64,32,40,43,52,30,52,49,55,33,51,N
29/08/2017,Tuesday,10:17:53,617.8833333,3,17,26,33,56,79,63,36,46,41,52,34,52,50,63,34,51,N
29/08/2017,Tuesday,10:25:33,625.55,3,18,26,31,56,81,63,36,46,47,52,36,52,52,59,32,56,N
29/08/2017,Tuesday,10:33:14,633.2333333,3,19,35,33,51,81,55,35,40,44,52,35,53,53,59,32,64,N
29/08/2017,Tuesday,10:40:54,640.9,3,19,26,33,56,79,63,29,40,42,48,35,52,55,64,32,51,N
29/08/2017,Tuesday,10:48:34,648.5666667,3,19,26,33,56,81,64,26,40,39,52,42,52,56,58,33,51,N
29/08/2017,Tuesday,10:56:13,656.2166667,3,20,26,33,56,82,59,26,46,41,52,40,53,55,58,41,58,N
12/09/2017,Tuesday,10:01:32,601.5333333,3,20,26,30,56,69,64,27,44,43,50,29,52,53,59,34,51,N
12/09/2017,Tuesday,10:09:11,609.1833333,3,17,26,30,56,67,69,28,37,44,50,31,52,53,55,32,51,N
12/09/2017,Tuesday,10:16:52,616.8666667,3,21,26,31,51,63,69,29,44,40,50,31,53,51,63,32,51,N
12/09/2017,Tuesday,10:24:33,624.55,3,21,26,31,56,66,69,28,44,46,50,31,52,52,59,31,51,N
12/09/2017,Tuesday,10:32:14,632.2333333,3,20,35,32,51,66,64,27,44,41,50,31,53,52,59,30,64,N
12/09/2017,Tuesday,10:39:54,639.9,3,22,26,31,56,67,58,27,37,41,50,30,52,55,64,31,51,N
