date,Monday,actual time,to_minutes,slot,car1,bus1,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,Holiday
07/08/2107,Monday,14:00:07,840.1166667,7,12,21,28,52,74,52,20,46,22,39,42,52,48,74,35,60,N
07/08/2107,Monday,14:07:48,847.8,7,12,25,30,55,72,59,20,46,21,39,43,52,49,73,33,51,N
07/08/2107,Monday,14:15:29,855.4833333,7,13,25,28,55,73,64,20,46,21,39,44,52,47,113,33,51,N
07/08/2107,Monday,14:23:10,863.1666667,7,12,25,27,45,72,63,20,46,20,52,45,52,50,86,35,51,N
07/08/2107,Monday,14:30:52,870.8666667,7,12,25,27,45,70,64,20,46,20,47,39,53,48,71,34,60,N
07/08/2107,Monday,14:38:33,878.55,7,12,27,27,44,68,59,20,40,21,52,43,52,51,71,36,60,N
07/08/2107,Monday,14:46:13,886.2166667,7,13,25,28,44,70,67,20,40,21,52,44,52,48,113,37,63,N
07/08/2107,Monday,14:53:54,893.9,7,13,34,26,55,69,64,21,40,21,47,43,52,47,113,34,62,N
09/08/2017,Wednesday,14:05:09,845.15,7,12,25,29,51,54,59,20,46,20,47,40,52,48,70,34,60,N
09/08/2017,Wednesday,14:12:55,852.9166667,7,12,25,28,55,54,64,20,46,21,39,40,52,46,113,34,51,N
09/08/2017,Wednesday,14:20:36,860.6,7,12,25,28,45,54,63,20,46,20,52,44,52,45,86,33,51,N
09/08/2017,Wednesday,14:28:15,868.25,7,14,25,27,45,54,63,20,46,20,47,44,53,45,86,33,61,N
09/08/2017,Wednesday,14:35:55,875.9166667,7,14,25,28,55,56,64,20,40,20,47,40,52,44,71,34,60,N
09/08/2017,Wednesday,14:43:35,883.5833333,7,15,25,28,44,54,67,20,40,20,52,38,52,45,71,38,60,N
09/08/2017,Wednesday,14:51:15,891.25,7,14,34,27,51,54,64,20,40,21,47,40,52,46,72,36,62,N
09/08/2017,Wednesday,14:58:54,898.9,7,13,25,28,52,53,63,20,40,20,52,41,53,46,75,34,62,N
10/08/2017,Thursday,14:02:54,842.9,7,11,25,29,51,76,59,20,44,20,45,33,52,47,70,37,60,N
10/08/2017,Thursday,14:10:33,850.55,7,13,25,29,55,74,64,19,44,20,49,33,52,46,73,40,51,N
10/08/2017,Thursday,14:18:12,858.2,7,13,25,29,45,73,63,19,44,20,49,34,52,44,86,37,51,N
10/08/2017,Thursday,14:25:51,865.85,7,13,25,28,45,71,63,19,44,21,49,35,52,46,86,36,61,N
10/08/2017,Thursday,14:33:30,873.5,7,12,25,29,55,70,64,19,37,21,45,34,52,44,71,37,60,N
10/08/2017,Thursday,14:41:10,881.1666667,7,15,25,29,44,71,59,19,37,21,49,33,52,45,71,36,60,N
10/08/2017,Thursday,14:48:51,888.85,7,15,25,30,44,68,64,20,37,22,49,32,52,47,113,38,66,N
10/08/2017,Thursday,14:56:29,896.4833333,7,16,25,29,55,67,63,20,37,21,45,32,52,46,75,38,62,N
17/08/2017,Thursday,14:02:17,842.2833333,7,14,25,28,51,66,59,20,46,20,39,34,52,45,70,34,60,N
17/08/2017,Thursday,14:09:56,849.9333333,7,11,25,28,55,71,64,21,46,21,39,36,52,43,73,35,51,N
17/08/2017,Thursday,14:17:35,857.5833333,7,11,25,27,45,66,63,20,46,21,39,35,52,44,86,34,51,N
17/08/2017,Thursday,14:25:15,865.25,7,12,25,27,45,65,63,20,46,20,52,34,52,43,86,34,61,N
17/08/2017,Thursday,14:32:55,872.9166667,7,13,25,28,55,65,64,20,40,21,47,35,52,43,71,34,60,N
17/08/2017,Thursday,14:40:33,880.55,7,12,25,28,44,62,59,20,40,21,52,37,52,43,71,34,60,N
