date,day,actual time,to_minutes,slot,car1,bus1 ,car2,bus2,car3,bus3,car4,bus4,car5,bus5,car6,bus6,car7,bus7,car8,bus8,holiday
25/08/2017,Friday,13:06:31,786.5166667,6,11,26,26,51,56,63,19,37,21,50,31,52,47,59,30,51,Y
25/08/2017,Friday,13:14:14,794.2333333,6,11,21,26,56,55,63,19,31,21,50,30,52,46,55,30,51,Y
25/08/2017,Friday,13:21:55,801.9166667,6,11,28,26,51,57,63,19,44,21,50,30,52,47,55,30,51,Y
25/08/2017,Friday,13:29:34,809.5666667,6,11,21,26,51,53,59,19,44,21,50,30,52,48,71,29,62,Y
25/08/2017,Friday,13:37:14,817.2333333,6,11,26,25,51,54,63,19,37,21,50,28,52,48,64,31,65,Y
25/08/2017,Friday,13:44:53,824.8833333,6,12,35,26,51,56,55,19,37,20,46,27,52,48,64,30,57,Y
25/08/2017,Friday,13:52:34,832.5666667,6,12,21,25,48,54,63,19,37,20,46,27,52,48,64,29,57,Y
05/09/2017,Tuesday,13:06:48,786.8,6,10,26,28,51,53,63,20,40,19,52,35,52,49,59,46,51,Y
05/09/2017,Tuesday,13:19:34,799.5666667,6,11,28,26,51,52,64,20,46,19,52,38,52,48,55,46,51,Y
05/09/2017,Tuesday,13:27:15,807.25,6,11,21,28,51,52,54,20,46,20,52,35,52,49,71,40,62,Y
05/09/2017,Tuesday,13:34:59,814.9833333,6,11,26,28,56,51,59,20,40,20,52,35,52,48,65,41,62,Y
05/09/2017,Tuesday,13:42:42,822.7,6,10,35,28,51,51,67,20,40,20,48,34,52,46,64,40,57,Y
05/09/2017,Tuesday,13:50:25,830.4166667,6,10,21,28,51,51,55,20,40,20,48,34,52,46,64,44,57,Y
05/09/2017,Tuesday,13:58:09,838.15,6,11,21,28,48,51,63,20,46,19,48,32,52,46,64,40,60,Y
15/08/2017,Tuesday,13:05:56,785.9333333,6,11,25,27,51,50,63,19,37,21,49,24,52,41,61,31,51,Y
